id_rumour;target;source;destination;veracity;evidence;evidence_date
143;Aar¢n Mart°n;Espanyol;Benfica;;;
14;Aaron Mooy;Huddersfield Town;Manchester City;;;
175;Afonso Sousa;Porto;Manchester United;;;
149;Alan Ruiz;Sporting;Espanyol;;;
92;Aleix Vidal;Barcelona;Sevilla;;;
36;Alex Grimaldo;Benfica;Tottenham;;;
257;Alex Telles;FC Porto;Everton;;;
57;Alex Telles;FC Porto;FC Porto;;;
195;Alex Telles;Porto;Real Madrid;;;
169;µlvaro Odriozola;Real Sociedad;Real Madrid;;;
220;Anderson Talisca;Benfica;Manchester United;;;
152;AndrÇ Carrillo;Benfica;Everton;;;
47;AndrÇ Gomes;Barcelona;Arsenal;;;
255;AndrÇ Gomes;Barcelona;Barcelona;;;
135;AndrÇ Gomes;Barcelona;Real Betis;;;
106;AndrÇ Gomes;Barcelona;Tottenham;;;
110;AndrÇ Gomes;Barcelona;Valencia;;;
256;AndrÇ Gomes;Barcelona;West Ham;;;
274;AndrÇ Gomes;Barcelona;Everton;;;
51;AndrÇ Moreira;AtlÇtico de Madrid;Sporting;;;
279;AndrÇ Moreira;AtlÇtico de Madrid;Aston Villa;;;
131;AndrÇ Pereira;Porto;Portimonense;;;
292;Andriy Lunin;Real Madrid;LeganÇs;;;
11;Angus Gunn;Manchester City;Southampton;;;
197;Anthony Martial;Manchester United;Chelsea;;;
137;Anthony Martial;Manchester United;Manchester United;;;
33;Anthony Martial;Manchester United;Tottenham;;;
294;Anthony Martial;Manchester United;Sevilla;;;
156;Antoine Griezmann;AtlÇtico Madrid;AtlÇtico Madrid;;;
181;Antoine Griezmann;AtlÇtico Madrid;Barcelona;;;
25;Antonio Adan;Real Betis;Atletico Madrid;;;
155;Antonio Adan;Real Betis;Sporting;;;
13;Arthur;Gremio;FC Bacelona;;;
119;Bas Dost;Sporting;Sevilla;;;
102;Bas Dost;Sporting;Sporting;;;
263;Ben Woodburn;Liverpool;Aston Villa;;;
172;Bruno Fernandes;Sporting;Atletico Madrid;;;
41;Bruno Fernandes;Sporting;Benfica;;;
78;Bruno Fernandes;Sporting;Sporting;;;
46;Bruno Fernandes;Sporting;West Ham;;;
145;Carles PÇrez;Barcelona;Benfica;;;
44;Chancel Mbemba ;Newcastle United;FC Porto;;;
212;Christian Eriksen;Tottenham;Barcelona;;;
213;Christian Eriksen;Tottenham;Real Madrid;;;
8;ClÇment Lenglet;Sevilla;FC Bacelona;;;
126;ClÇment Lenglet;Sevilla;Manchester United;;;
144;Cristian Lema;Belgrano;Benfica;;;
241;Cristian Pav¢n;Boca Juniors;Arsenal;;;
83;Cristian Pav¢n;Boca Juniors;Barcelona;;;
157;Cristian Pav¢n;Boca Juniors;Benfica;;;
100;Cristian Pav¢n;Boca Juniors;Boca Juniors;;;
158;Cristian Pav¢n;Boca Juniors;Porto;;;
159;Cristian Pav¢n;Boca Juniors;Sporting;;;
111;Cristiano Piccini;Sporting;Valencia;;;
1;Cristiano Ronaldo;Real Madrid;Manchester United;;;
17;Cristiano Ronaldo;Real Madrid;Real Madrid;;;
253;Dani Parejo;Valencia;Barcelona;;;
56;Daniel Arzani;Melbourne City;Manchester City;;;
67;Daniel Wass;Celta de Vigo;Valencia;;;
269;Danny Drinkwater;Chelsea;West Ham;;;
270;Danny Drinkwater;Chelsea;Leicester;;;
23;Danny Ings;Liverpool;Celtic;;;
262;Danny Ings;Liverpool;Crystal Palace;;;
114;Danny Ings;Liverpool;Southampton;;;
204;Danny Rose;Tottenham;Manchester United;;;
233;David de Gea;Manchester United;Manchester United;;;
222;David de Gea;Manchester United;Real Madrid;;;
117;Demetri Mitchell;Manchester United;Derby;;;
139;Diego God°n;AtlÇtico Madrid;AtlÇtico Madrid;;;
284;Diego God°n;AtlÇtico Madrid;Manchester United;;;
264;Divock Origi;Liverpool;Watford;;;
116;DjenÇ Dakonam;Getafe CF;Sevilla;;;
170;Domingos Quina;West Ham;Barcelona;;;
245;Domingos Quina;West Ham;;;;
88;Eden Hazard;Chelsea;Barcelona;;;
115;Eden Hazard;Chelsea;Chelsea;;;
80;Eden Hazard;Chelsea;Real Madrid;;;
84;êder Milit∆o;S∆o Paulo;FC Porto;;;
177;Enzo PÇrez;River Plate;Sporting;;;
192;Ever Banega;Sevilla;Sevilla;;;
10;Ever Banega;Sevilla;Arsenal;;;
154;Fabi†n Balbuena;Corinthians;Sporting;;;
173;Fabi†n Balbuena;Corinthians;West Ham;;;
216;Florian Lejeune;Newcastle United;Sevilla;;;
76;Franco V†zquez;West Ham;Sevilla;;;
82;Gabriel Braz∆o;Cruzeiro;Sporting;;;
129;Gabriel Pires;LeganÇs;Benfica;;;
130;Gabriel Pires;LeganÇs;Sporting;;;
174;Gaku Shibasaki;Getafe CF;Porto;;;
206;Gareth Bale;Real Madrid;Chelsea;;;
207;Gareth Bale;Real Madrid;Liverpool;;;
89;Gareth Bale;Real Madrid;Manchester United;;;
113;Gareth Bale;Real Madrid;Real Madrid;;;
243;Gary Cahill;Chelsea;Manchester United;;;
168;Gelson Martins;Sporting;Arsenal;;;
45;Gelson Martins;Sporting;AtlÇtico de Madrid;;;
167;Gelson Martins;Sporting;Benfica;;;
30;Gelson Martins;Sporting;Real Betis;;;
228;Gelson Martins;Sporting;Everton;;;
215;Gelson Martins;Sporting;Liverpool;;;
161;Gonáalo Paciància;Porto;Porto;;;
6;Guillermo Fern†ndez;Godoy Cruz;Benfica;;;
48;Guillermo Varela;Pe§arol;Benfica;;;
148;Gustavo Scarpa;Palmeiras;Benfica;;;
166;Haris Seferovic;Benfica;West Ham;;;
72;Harry Kane;Tottenham;Real Madrid;;;
98;Harry Maguire;Leicester;Leicester;;;
71;Harry Maguire;Leicester;Liverpool;;;
95;Harry Maguire;Leicester;Manchester United;;;
238;HÇctor Herrera;FC Porto;Arsenal;;;
53;HÇctor Herrera;FC Porto;Barcelona;;;
118;HÇctor Herrera;FC Porto;Real Betis;;;
34;HÇctor Herrera;FC Porto;FC Porto;;;
120;HÇctor Herrera;FC Porto;Real Madrid;;;
103;HernÉni ;FC Porto;Levante;;;
246;Hugo Lloris;Tottenham;Real Madrid;;;
151;Iago Borduchi;Internacional;Benfica;;;
225;Ilkay Gundogan;Manchester City;Barcelona;;;
127;Isco;Real Madrid;Manchester City;;;
136;Islam Slimani;Leicester;Sporting;;;
250;Jack Butland;Stoke;Chelsea;;;
226;Jack Grealish;Aston Villa;Chelsea;;;
230;Jack Grealish;Aston Villa;Liverpool;;;
146;Jack Grealish;Aston Villa;Manchester United;;;
63;Jack Grealish;Aston Villa;Tottenham;;;
219;Jan Oblak;Atletico Madrid;Liverpool;;;
293;Jan Oblak;Atletico Madrid;Chelsea;;;
198;Jasper Cillessen;Barcelona;Barcelona;;;
90;Jasper Cillessen;Barcelona;Liverpool;;;
142;Jeremy Mathieu;Sporting;Arsenal;;;
271;Jo∆o FÇlix;Benfica;West Ham;;;
153;Jo∆o Pedro;Palmeiras;Porto;;;
183;Joaqu°n Correa;Sevilla;West Ham;;;
164;Joaqu°n Torres;"Newell""s Old Boys";Benfica;;;
247;Joe Hart;Manchester City;Manchester City;;;
272;Joe Hart;Manchester City;Burnley;;;
178;Joel Pereira;Manchester United;Manchester United;;;
140;Joel Pereira;Manchester United;Sporting;;;
171;Jonas;Benfica;Benfica;;;
248;Jordan Pickford;Everton;Chelsea;;;
249;Jordan Pickford;Everton;Everton;;;
234;Jordi Alba;Barcelona;Barcelona;;;
214;Jordi Alba;Barcelona;Manchester United;;;
235;Jordi Alba;Barcelona;Tottenham;;;
107;JosÇ Arn†iz;Barcelona;Real Sociedad;;;
147;JosÇ GimÇnez;AtlÇtico Madrid;Real Madrid;;;
237;JosÇ Luis GayÖ;Valencia;Manchester United;;;
94;Juan Quintero;FC Porto;FC Porto;;;
7;Juan Quintero;FC Porto;Real Madrid;;;
150;Juan Quintero;FC Porto;River Plate;;;
20;Juan Quintero;FC Porto;Tottenham;;;
39;Juan Quintero;FC Porto;Wolves;;;
16;Kasey Palmer;Chelsea;Norwich;;;
266;Kasper Schmeichel;Leicester;Chelsea;;;
29;Kelechi Nwakali;Arsenal;FC Porto;;;
280;Kepa Arrizabalaga;Athletic Bilbao;Chelsea;;;
73;Kevin Gameiro;AtlÇtico de Madrid;Valencia;;;
289;Kiko Casilla;Real Madrid;Sevilla;;;
285;Kurt Zouma;Chelsea;Everton;;;
286;Kurt Zouma;Chelsea;Manchester United;;;
2;Lee Grant;Stoke;Manchester United;;;
93;LÇo Cittadini;Santos;Benfica;;;
227;Lucas Digne;Barcelona;Everton;;;
291;Lucas PÇrez;Arsenal;Sporting;;;
185;Lucas V†zquez;Real Madrid;Arsenal;;;
186;Lucas V†zquez;Real Madrid;Chelsea;;;
187;Lucas V†zquez;Real Madrid;Liverpool;;;
290;Luka Modric;Real Madrid;Real Madrid;;;
184;Manu Garc°a;Manchester City;Espanyol;;;
4;Marco Asensio;Real Madrid;Liverpool;;;
75;Marco Asensio;Real Madrid;Real Madrid;;;
163;Marcos Acu§a;Sporting;Benfica;;;
77;Marcos Acu§a;Sporting;Real Betis;;;
141;Marcos Acu§a;Sporting;Sporting;;;
278;Marcos Alonso;Chelsea;Real Madrid;;;
190;Marcos Llorente;Real Madrid;Real Betis;;;
231;Marcos Llorente;Real Madrid;Real Madrid;;;
189;Marcos Llorente;Real Madrid;Sevilla;;;
258;Marcos Rojo;Manchester United;Everton;;;
221;Mario Lemina;Southampton;Manchester City;;;
208;Marko Arnautovic;West Ham;Manchester United;;;
252;Marko Grujic;Liverpool;Cardiff;;;
26;Marlon Santos;Barcelona;Southampton;;;
3;Marouane Fellaini;Manchester United;Arsenal;;;
54;Mateo Kovacic;Real Madrid;Chelsea;;;
81;Mateo Kovacic;Real Madrid;Manchester City;;;
9;Mateo Kovacic;Real Madrid;Manchester United;;;
199;Mateo Kovacic;Real Madrid;Real Madrid;;;
182;Maxi G¢mez;Celta de Vigo;Sevilla;;;
79;Maxi Pereira;FC Porto;FC Porto;;;
68;Michy Batshuayi;Chelsea;Sevilla;;;
281;Michy Batshuayi;Chelsea;Atletico Madrid;;;
282;Michy Batshuayi;Chelsea;Valencia;;;
121;Miguel Lay£n;FC Porto;Arsenal;;;
123;Miguel Lay£n;FC Porto;Atletico Madrid;;;
124;Miguel Lay£n;FC Porto;Sevilla;;;
122;Miguel Lay£n;FC Porto;Villarreal;;;
125;Mohamed Salah;Liverpool;Barcelona;;;
193;Mohamed Salah;Liverpool;Liverpool;;;
69;Mohamed Salah;Liverpool;Real Madrid;;;
60;Moussa Marega;FC Porto;FC Porto;;;
176;Moussa Marega;FC Porto;West Ham;;;
55;Nani;Valencia;Sporting;;;
37;N'Golo KantÇ;Chelsea;Barcelona;;;
91;N'Golo KantÇ;Chelsea;Real Madrid;;;
224;Nick Pope;Burnley;Liverpool;;;
12;Nico Pareja;Sevilla;Boca Juniors;;;
132;Nikola Vuk?evi?;Braga;Sporting;;;
58;Oleksandr Zinchenko;Manchester City;Wolves;;;
138;Oliver Giroud;Chelsea;AtlÇtico de Madrid;;;
162;‡liver Torres;Porto;Real Betis;;;
211;Ousmane Dembele;Barcelona;Arsenal;;;
217;Ousmane Dembele;Barcelona;Barcelona;;;
251;Ousmane Dembele;Barcelona;Chelsea;;;
209;Ousmane Dembele;Barcelona;Liverpool;;;
210;Ousmane Dembele;Barcelona;Manchester United;;;
66;Paco Alc†cer;Barcelona;Barcelona;;;
62;Paco Alc†cer;Barcelona;Everton;;;
101;Paul Pogba;Manchester United;Barcelona;;;
105;Paul Pogba;Manchester United;Manchester United;;;
40;Paulinho Bezerra;Barcelona;Barcelona;;;
196;Paulo Henrique Ganso;Sevilla;Sporting;;;
265;Petr Cech;Arsenal;Chelsea;;;
165;Rafael Le∆o;Sporting;Manchester City;;;
191;Rafael Le∆o;Sporting;Sporting;;;
85;Rafinha AlcÉntara;Barcelona;Benfica;;;
288;Rafinha AlcÉntara;Barcelona;Real Betis;;;
74;Raphaâl Varane;Real Madrid;Manchester United;;;
283;Ra£l De Tom†s;Manchester United;Sporting;;;
27;Raul Silva;Braga;FC Porto;;;
70;Renato Sanches;Benfica;Benfica;;;
42;Riyad Mahrez;Leicester;Manchester City;;;
134;Rodrigo Battaglia;Sporting;Levante;;;
108;Rodrigo Battaglia;Sporting;Real Betis;;;
104;Rodrigo Battaglia;Sporting;Sporting;;;
180;Rodrigo Battaglia;Sporting;Villarreal;;;
99;Rodrigo Moreno;Valencia;Real Madrid;;;
160;R¢ger Guedes;Palmeiras;Benfica;;;
28;R¢ger Guedes;Palmeiras;FC Porto;;;
18;Romelu Lukaku;Manchester United;Real Madrid;;;
5;Ruben Loftus-Cheek;Chelsea;Chelsea;;;
31;Ruben Loftus-Cheek;Chelsea;Everton;;;
61;Rui Patr°cio;Sporting;Wolves;;;
65;Sadio ManÇ;Liverpool;Liverpool;;;
240;Sadio ManÇ;Liverpool;Real Madrid;;;
38;Sam Johnstone;Manchester United;West Bromwich Albion;;;
179;Sergi G¢mez;Celta de Vigo;Sevilla;;;
205;Sergio Rico;Sevilla;Arsenal;;;
287;Sergio Rico;Sevilla;Fulham;;;
96;Sheyi Ojo;Liverpool;Stoke;;;
242;Sheyi Ojo;Liverpool;West Bromwich Albion;;;
202;Simon Mignolet;Liverpool;Barcelona;;;
203;Simon Mignolet;Liverpool;Liverpool;;;
43;Steven N'Zonzi;Sevilla;Arsenal;;;
232;Steven N'Zonzi;Sevilla;Barcelona;;;
59;Steven N'Zonzi;Sevilla;Tottenham;;;
267;Theo Hern†ndez;Real Madrid;Real Sociedad;;;
275;Theo Hern†ndez;Real Madrid;Fulham;;;
32;Thibaut Courtois;Chelsea;Real Madrid;;;
109;TiemouÇ Bakayoko;Chelsea;Sevilla;;;
19;Timothy Fosu Mensah;Manchester United;Valencia;;;
276;Timothy Fosu Mensah;Manchester United;Fulham;;;
97;TobyˇAlderweireld;Tottenham;Manchester United;;;
218;TobyˇAlderweireld;Tottenham;Tottenham;;;
15;Tony Kroos;Real Madrid;Manchester United;;;
188;Tosin Kehinde;Manchester United;Barcelona;;;
236;Vicente Iborra;Leicester;Sevilla;;;
86;Victor Lindelîf;Manchester United;Benfica;;;
223;Victor Lindelîf;Manchester United;Everton;;;
133;Wendel;Sporting;Flamengo;;;
35;Wendel;Sporting;S∆o Paulo;;;
260;Wilfried Zaha;Crystal Palace;Chelsea;;;
261;Wilfried Zaha;Crystal Palace;Crystal Palace;;;
259;Wilfried Zaha;Crystal Palace;Tottenham;;;
49;William Carvalho;Sporting;Real Betis;;;
24;William Carvalho;Sporting;Everton;;;
128;William Carvalho;Sporting;Valencia;;;
21;Willian Borges;Chelsea;FC Bacelona;;;
22;Willian Borges;Chelsea;Manchester United;;;
254;Willian Borges;Chelsea;Real Madrid;;;
273;Willian Borges;Chelsea;Chelsea;;;
87;Xherdan Shaqiri;Stoke;Liverpool;;;
52;Xherdan Shaqiri;Stoke;Manchester United;;;
229;Yacine Brahimi;Porto;Arsenal;;;
268;Yacine Brahimi;Porto;West Ham;;;
64;Yasin Ben El-Mhanni;Newcastle United;Benfica;;;
112;Yerry Mina;Barcelona;Barcelona;;;
194;Yerry Mina;Barcelona;Boca Juniors;;;
50;Yerry Mina;Barcelona;Everton;;;
239;Yerry Mina;Barcelona;Liverpool;;;
200;Yerry Mina;Barcelona;Manchester United;;;
244;Yerry Mina;Barcelona;Tottenham;;;
201;Yerry Mina;Barcelona;Wolves;;;
277;Yerry Mina;Barcelona;Aston Villa;;;
295;Marcos Alonso;Chelsea;Chelsea;;;
296;Marcos Alonso;Chelsea;Atletico Madrid;;;
